csv_id,away_team,home_team,game_id,pool_home_spread,pool_total,model_home_spread,model_pick,model_edge,recommendation,confidence_flag
2026_W02_01,Rutgers,Boston College,401858214,-3.5,54.5,-3.3,Rutgers,1.1,recommended,standard
2026_W02_02,Missouri,Kansas,401856678,5.5,50.5,5.5,Kansas,11.41,not_recommended_large_edge,low_confidence_large_edge
2026_W02_03,Oklahoma,Michigan,401856679,5.5,43.5,5.7,Oklahoma,9.53,recommended,standard
2026_W02_04,Old Dominion,Virginia Tech,401858221,-19.5,49.5,-19.3,Virginia Tech,24.69,not_recommended_large_edge,low_confidence_large_edge
2026_W02_05,Washington State,Kansas State,401856781,-18.5,48.5,-18.5,Kansas State,17.49,not_recommended_large_edge,low_confidence_large_edge
2026_W02_06,Oregon,Oklahoma State,401856782,22.5,57.5,22.5,Oklahoma State,11.51,not_recommended_large_edge,low_confidence_large_edge
2026_W02_07,App State,East Carolina,401864571,-7.5,56.5,-7.5,App State,48.07,not_recommended_large_edge,low_confidence_large_edge
2026_W02_08,Arizona State,Texas A&M,401856683,-14.5,49.5,-14.3,Arizona State,23.57,not_recommended_large_edge,low_confidence_large_edge
2026_W02_09,Wake Forest,Purdue,401858224,2.5,49.5,2.8,Purdue,3.22,recommended,standard
2026_W02_10,South Florida,Army,401862702,-3.5,46.5,-3.5,Army,36.98,not_recommended_large_edge,low_confidence_large_edge
2026_W02_11,Penn State,Temple,401858442,23.5,49.5,23.7,Temple,10.69,not_recommended_large_edge,low_confidence_large_edge
2026_W02_12,Western Kentucky,Georgia,401856673,-40.5,55.5,-40.5,Georgia,15.59,not_recommended_large_edge,low_confidence_large_edge
2026_W02_13,Mississippi State,Minnesota,401856677,-1.5,55.5,0.7,Minnesota,8.98,recommended,standard
2026_W02_14,Maryland,UConn,401858444,12.5,52.5,12.5,UConn,17.43,not_recommended_large_edge,low_confidence_large_edge
2026_W02_15,Eastern Michigan,Michigan State,401858440,-17.5,48.5,-17.3,Eastern Michigan,21.9,not_recommended_large_edge,low_confidence_large_edge
2026_W02_16,UCF,Pittsburgh,401856790,-7.5,57.5,-6.8,UCF,14.15,not_recommended_large_edge,low_confidence_large_edge
2026_W02_17,Arizona,BYU,401856810,-7.5,48.5,-7.5,BYU,16.7,not_recommended_large_edge,low_confidence_large_edge
2026_W02_18,California,Syracuse,401858216,-3.5,56.5,-3.3,Syracuse,38.13,not_recommended_large_edge,low_confidence_large_edge
2026_W02_19,UL Monroe,UAB,401862708,-9.5,55.5,-9.8,UAB,7.45,recommended,standard
2026_W02_20,Rice,Notre Dame,401859184,-43.5,55.5,-44.2,Rice,41.47,not_recommended_large_edge,low_confidence_large_edge
2026_W02_21,Duke,Illinois,401858217,-5.5,51.5,-5.8,Illinois,14.54,not_recommended_large_edge,low_confidence_large_edge
2026_W02_22,Alabama,Kentucky,401856674,10.5,49.5,10.5,Kentucky,10.5,not_recommended_large_edge,low_confidence_large_edge
2026_W02_23,Utah State,Washington,401858446,-27.5,55.5,-26.8,Utah State,21.26,not_recommended_large_edge,low_confidence_large_edge
2026_W02_24,UTSA,Texas State,401860884,-1.5,66.5,-1.5,UTSA,27.85,not_recommended_large_edge,low_confidence_large_edge
2026_W02_25,UNLV,North Texas,401862705,3.5,57.5,3.5,UNLV,8.1,recommended,standard
2026_W02_26,Delaware,Vanderbilt,401856684,-20.5,54.5,-20.5,Delaware,35.22,not_recommended_large_edge,low_confidence_large_edge
2026_W02_27,Buffalo,Florida International,401866414,-10.5,47.5,-10.5,Buffalo,7.69,recommended,standard
